dataset,avg_tool_calls,oracle,oracle_bt2,full_restart,best_unc,n_failed
HotpotQA,4.744837758112094,0.10914454277286136,0.12389380530973451,0.1415929203539823,0.12831858407079647,226
FEVER,3.901718213058419,0.024742268041237112,0.03161512027491409,0.028178694158075602,0.03505154639175258,485
MuSiQue,6.6196078431372545,0.04862745098039216,0.05568627450980392,0.058823529411764705,0.05647058823529412,425
2WikiMHQA,4.0311986863711,0.10016420361247948,0.2200328407224959,0.21182266009852216,0.2545155993431856,203
